account_id,customer_id,branch_id,account_type,opening_date,balance,status,account_age_days
1,1024,89,Credit Card,2013-06-19,25.31,Suspended,4523
2,3002,124,Loan,2017-01-11,331.88,Suspended,3221
3,3628,130,Current,2014-02-06,148.28,Suspended,4291
4,612,37,Savings,2024-01-02,17.12,Active,674
5,1472,33,Current,2025-05-27,180.89,Closed,163
6,2507,60,Credit Card,2021-04-28,594.74,Suspended,1653
7,2198,195,Loan,2013-10-18,442.08,Suspended,4402
8,2885,51,Current,2025-03-15,110.71,Active,236
9,183,111,Loan,2015-04-04,129.88,Closed,3869
10,1283,22,Current,2024-04-15,44.93,Suspended,570
11,1592,66,Credit Card,2019-09-10,23.73,Closed,2249
12,3399,59,Loan,2014-02-13,391.3,Active,4284
13,3752,12,Current,2019-12-09,81.27,Closed,2159
14,3926,23,Current,2020-06-26,34.43,Active,1959
15,394,92,Savings,2013-11-01,89.78,Suspended,4388
16,2464,165,Loan,2012-01-25,12.17,Closed,5034
17,1539,159,Credit Card,2013-04-29,81.4,Suspended,4574
18,87,58,Loan,2018-07-04,153.37,Active,2682
19,2396,118,Credit Card,2024-10-16,190.78,Closed,386
20,2107,195,Loan,2018-09-01,28.12,Closed,2623
21,3955,176,Credit Card,2013-03-14,145.79,Active,4620
22,2331,11,Current,2016-02-17,647.9,Active,3550
23,1931,77,Savings,2020-01-06,95.15,Closed,2131
24,3393,97,Credit Card,2018-07-08,122.28,Active,2678
25,3616,80,Savings,2023-04-25,140.72,Closed,926
26,3484,186,Savings,2021-03-03,25.09,Suspended,1709
27,1311,182,Loan,2013-03-25,22.59,Closed,4609
28,1354,21,Credit Card,2025-05-24,48.98,Active,166
29,2823,177,Savings,2021-01-25,81.61,Suspended,1746
30,3600,57,Savings,2014-11-11,54.02,Active,4013
31,3048,114,Current,2022-07-20,54.66,Suspended,1205
32,1779,40,Current,2024-08-07,160.62,Suspended,456
33,217,34,Current,2019-11-11,241.55,Closed,2187
34,338,81,Current,2025-07-28,16.34,Closed,101
35,1863,93,Credit Card,2019-10-07,20.79,Closed,2222
36,1371,199,Current,2021-08-21,75.19,Closed,1538
37,282,5,Savings,2014-10-19,69.23,Suspended,4036
38,603,192,Loan,2012-02-10,226.62,Closed,5018
39,567,8,Credit Card,2018-06-23,263.53,Closed,2693
40,3069,16,Credit Card,2020-10-28,38.27,Active,1835
41,1947,98,Loan,2013-10-02,412.04,Suspended,4418
42,3936,153,Loan,2014-10-14,260.29,Active,4041
43,3532,193,Loan,2015-08-27,53.64,Closed,3724
44,2891,183,Loan,2017-09-21,201.27,Closed,2968
45,3929,175,Current,2021-04-29,61.72,Suspended,1652
46,251,145,Loan,2019-02-16,33.42,Closed,2455
47,1629,84,Credit Card,2018-08-03,163.13,Active,2652
48,1737,88,Credit Card,2016-12-01,63.1,Suspended,3262
49,429,124,Savings,2019-06-16,225.36,Suspended,2335
50,1282,112,Current,2018-08-05,57.74,Suspended,2650
51,3039,176,Credit Card,2017-08-08,256.87,Suspended,3012
52,2347,26,Loan,2018-07-10,29.28,Suspended,2676
53,1342,175,Credit Card,2017-10-04,31.08,Suspended,2955
54,2635,152,Credit Card,2013-02-20,65.36,Suspended,4642
55,204,194,Credit Card,2018-10-15,63.85,Active,2579
56,228,43,Current,2023-07-10,42.51,Active,850
57,2746,82,Current,2018-08-01,50.61,Suspended,2654
58,3119,134,Current,2020-05-29,93.53,Suspended,1987
59,635,114,Current,2019-02-18,51.23,Closed,2453
60,3940,60,Credit Card,2023-06-26,251.41,Closed,864
61,3246,13,Loan,2021-05-28,348.48,Suspended,1623
62,489,13,Credit Card,2020-07-11,330.9,Suspended,1944
