fraud_id,transaction_id,fraud_type,detection_method,report_date,resolution_status,loss_amount
1,4,Vishing,AI Alert,2024-02-17,Closed,2911.34
2,8197,Smishing,Customer Complaint,2019-06-25,Investigating,5331.17
3,8199,Chargeback Fraud,AI Alert,2020-09-14,Resolved,28211.42
4,7,Account Takeover,AI Alert,2024-06-29,Resolved,10280.88
5,9,Vishing,Customer Complaint,2020-12-31,Closed,5322.88
6,8202,Card Cloning,AI Alert,2023-07-25,Resolved,23506.53
7,12,Phishing,AI Alert,2024-03-18,Closed,12936.15
8,8205,Identity Theft,Manual Review,2025-02-16,Resolved,19689.27
9,14,Phishing,Customer Complaint,2023-04-14,Investigating,14998.51
10,15,Identity Theft,Customer Complaint,2024-07-26,Closed,82.03
11,16,Smishing,Manual Review,2025-08-10,Closed,34607.74
12,8207,Vishing,Customer Complaint,2024-01-06,Closed,2853.71
13,21,Phishing,Manual Review,2021-10-26,Closed,24778.54
14,22,Smishing,Manual Review,2023-10-15,Closed,2950.03
15,24,Account Takeover,Manual Review,2025-03-22,Closed,5668.51
16,8216,Identity Theft,AI Alert,2019-05-28,Closed,838.63
17,8220,Smishing,Customer Complaint,2024-09-27,Resolved,171.05
18,33,Phishing,AI Alert,2022-09-20,Investigating,9386.17
19,8226,Smishing,Manual Review,2024-01-24,Closed,22982.83
20,34,Vishing,AI Alert,2019-01-26,Resolved,235.31
21,8227,Phishing,AI Alert,2020-12-14,Investigating,11581.27
22,40,Chargeback Fraud,AI Alert,2022-04-13,Investigating,1257.06
23,41,Account Takeover,Customer Complaint,2025-02-02,Closed,8758.75
24,42,Vishing,Manual Review,2024-04-08,Resolved,910.11
25,8235,Vishing,Customer Complaint,2023-01-17,Investigating,16652.36
26,8236,Account Takeover,Customer Complaint,2022-11-02,Investigating,122.28
27,46,Smishing,Manual Review,2022-09-24,Resolved,26295.43
28,47,Chargeback Fraud,Manual Review,2023-05-24,Investigating,3160.8
29,8239,Smishing,AI Alert,2023-09-16,Investigating,15010.29
