loan_id,customer_id,loan_type,loan_amount,issue_date,loan_status,is_fraud
1,4015,Business,558811.91,2022-04-21,Default,0
2,4007,Education,370193.71,2014-05-28,Closed,0
3,4028,Business,344548.54,2025-09-29,Active,0
4,4035,Home,692764.55,2015-01-13,Closed,0
5,4040,Education,746639.94,2025-01-07,Closed,0
6,4010,Vehicle,189510.94,2021-05-29,Closed,0
7,4040,Vehicle,307227.39,2017-04-04,Default,1
8,4013,Business,501224.11,2020-05-31,Default,0
9,4013,Education,52933.24,2020-12-29,Default,0
10,4025,Home,832137.48,2016-09-25,Closed,0
11,58,Home,668219.59,2013-02-28,Default,1
12,4033,Home,267946.63,2020-11-03,Active,0
13,4006,Gold,385930.07,2019-02-19,Active,0
14,4040,Vehicle,966933.34,2013-07-01,Closed,0
15,4040,Gold,460142.37,2018-04-12,Active,1
16,4002,Education,467369.11,2014-06-24,Active,1
17,4002,Vehicle,611988.59,2017-10-24,Closed,0
18,4002,Business,494197.46,2025-02-20,Default,0
19,4021,Gold,520731.29,2022-06-08,Active,0
20,4007,Education,384819.62,2015-04-30,Default,0
21,4016,Business,155573.72,2021-08-23,Default,0
22,4031,Personal,440690.6,2023-01-18,Active,0
23,4019,Gold,240628.4,2018-01-20,Active,0
24,164,Home,376018.71,2020-09-16,Default,0
25,4003,Business,572827.15,2016-01-10,Active,0
26,4007,Vehicle,616780.04,2016-03-15,Default,0
27,4035,Personal,310633.01,2023-08-19,Default,0
28,4026,Business,560919.43,2014-02-22,Active,0
29,4015,Education,242913.41,2015-02-25,Active,0
30,4008,Education,426668.23,2015-08-29,Default,0
31,4003,Gold,576918.17,2021-09-24,Active,0
32,4004,Education,55853.66,2020-05-10,Active,1
33,4023,Home,424607.26,2020-03-13,Default,0
34,4037,Personal,321947.68,2013-11-25,Default,0
35,4039,Gold,750805.72,2015-01-02,Closed,0
36,4002,Vehicle,337388.15,2024-10-31,Closed,0
37,4024,Business,311609.88,2013-04-04,Closed,0
