transaction_id,account_id,transaction_date,transaction_type,amount,channel,is_fraud
1,5857,2025-05-19 00:00:00,POS,6085.95,UPI,0
2,2564,2023-01-30 11:07:00,ATM Withdrawal,5785.92,UPI,0
3,2275,2024-01-12 14:28:10,Debit,522.88,UPI,0
4,6471,2018-07-10 18:37:52,Credit,1386.3,UPI,0
5,6290,2018-04-13 00:00:00,UPI,2879.44,Online,0
6,6516,2019-11-07 00:00:00,ATM Withdrawal,441.92,ATM,0
7,1802,2025-08-31 05:38:00,Debit,2148.77,ATM,0
8,2096,2020-01-06 15:14:51,UPI,3843.81,POS,0
9,3269,2021-02-11 08:55:37,UPI,7571.14,POS,1
10,6750,2022-11-04 17:24:01,Credit,4316.21,Branch,0
11,1737,2024-08-17 00:00:00,ATM Withdrawal,1162.48,ATM,0
12,4976,2020-12-19 05:07:33,Online Transfer,220.29,POS,0
13,1161,2019-09-26 00:00:00,Credit,5609.0,POS,0
14,3967,2023-12-10 01:36:21,Debit,441.97,Branch,0
15,1243,2018-05-02 00:00:00,Debit,10833.41,UPI,1
16,3407,2025-09-02 05:18:23,UPI,5876.43,UPI,1
17,786,2025-08-12 19:13:11,UPI,2401.94,Online,0
18,2221,2022-09-18 12:17:19,Debit,7356.08,POS,0
19,2211,2023-03-26 08:06:08,UPI,2935.59,ATM,1
20,4759,2020-01-20 00:00:00,Online Transfer,10520.55,ATM,1
21,2718,2018-05-17 00:00:00,POS,3738.52,POS,0
22,3552,2018-08-19 12:32:33,ATM Withdrawal,2107.85,ATM,0
23,4038,2024-03-23 16:23:46,Debit,3918.38,Branch,0
24,3916,2020-06-19 00:00:00,ATM Withdrawal,17392.26,ATM,0
25,4919,2021-01-20 20:42:28,POS,683.17,UPI,0
26,4029,2018-08-14 06:28:27,Credit,16240.61,UPI,0
27,2361,2025-03-28 02:35:32,Online Transfer,9652.7,ATM,1
28,830,2024-02-06 21:33:31,Online Transfer,13134.68,ATM,0
29,6919,2019-01-18 23:40:56,ATM Withdrawal,6441.8,UPI,0
30,3232,2024-09-16 00:00:00,ATM Withdrawal,8330.59,ATM,1
