account_id,customer_id,branch_id,account_type,opening_date,balance,status
1,1024,89,Credit Card,19-06-2013,25.31,Suspended
2,3002,124,Loan,11-01-2017,331.88,Suspended
3,3628,130,Current,06-02-2014,148.28,Suspended
4,612,37,Savings,02-01-2024,17.12,Active
5,1472,33,Current,27-05-2025,180.89,Closed
6,2507,60,Credit Card,28-04-2021,594.74,Suspended
7,2198,195,Loan,18-10-2013,442.08,Suspended
8,2885,51,Current,15-03-2025,110.71,Active
9,183,111,Lona,04-04-2015,129.88,Closed
10,1283,22,Current,15-04-2024,44.93,Suspended
11,1592,66,Credit Card,10-09-2019,23.73,Closed
12,3399,59,Loan,13-02-2014,391.3, Active
13,3752,12,Current,09-12-2019,81.27,Closed
14,3926,23,Current,"Jun 26, 2020",34.43,Active
15,394,92,Savings,01-11-2013,89.78,Suspended
16,2464,165,Loan,25-01-2012,12.17,Closed
17,1539,159,Credit Card,29-04-2013,81.4,Suspended
18,87,58,Loan,04-07-2018,153.37,Active
19,2396,118,Credit Card,16-10-2024,190.78,Closed
20,2107,195,Loan,01-09-2018,28.12,Closed
21,3955,176,Credit Card,14-03-2013,145.79,Active
22,2331,11,Current,17-02-2016,647.9,Active
23,1931,77,Savings,06-01-2020,95.15,Closed
24,3393,97,Credti Card,07-08-2018,122.28,Active
25,3616,80,Savings,25-04-2023,140.72,Closed
26,3484,186,Savings,03-03-2021,25.09,Suspended
27,1311,182,Loan,25-03-2013,22.59,Closed
28,1354,21,Credit Card,24-05-2025,48.98, Active
29,2823,177,Savings,25-01-2021,81.61,Suspended
30,3600,57,Savings,11-11-2014,54.02,Active
31,3048,114,Current,20-07-2022,54.66,Suspended
32,1779,40,Current,"Aug 07, 2024",160.62,Suspended
33,217,34,Curernt,11-11-2019,241.55,Closed
34,338,81,uCrrent,28-07-2025,16.34,Closed
35,1863,93,rCedit Card,07-10-2019,20.79,Closed
36,1371,199,Current,21-08-2021,75.19,Closed
37,282,5,Savings,19-10-2014,69.23,Suspended
38,603,192,Loan,10-02-2012,226.62,Closed
39,567,8,Credit Card,23-06-2018,263.53,Closed
40,3069,16,Credit Card,28-10-2020,38.27,Active
41,1947,98,Loan,02-10-2013,412.04,Suspended
42,3936,153,Loan,14-10-2014,260.29, Active
43,3532,193,Loan,27-08-2015,53.64,Closed
44,2891,183,Loan,21-09-2017,201.27,Closed
45,3929,175,Current,29-04-2021,61.72,Suspended
46,251,145,Loan,16-02-2019,33.42,Closed
47,1629,84,Credti Card,03-08-2018,163.13,Active
48,1737,88,Credit Card,01-12-2016,63.1,Suspended
49,429,124,Savings,16-06-2019,225.36,Suspended
50,1282,112,Current,05-08-2018,57.74,suspended
51,3039,176,Credit Card,08-08-2017,256.87,Suspended
52,2347,26,Loan,10-07-2018,29.28, Suspended
53,1342,175,Credit Card,04-10-2017,31.08,Suspended
54,2635,152,Credit Card,20-02-2013,65.36,Suspended
55,204,194,Credit Card,15-10-2018,63.85,Active
56,228,43,Current,"Jul 10, 2023",42.51,ACTIVE
57,2746,82,Current,01-08-2018,50.61,Suspended
58,3119,134,Current,29-05-2020,93.53,Suspended
59,635,114,Current,18-02-2019,51.23,Closed
60,3940,60,Credit Card,26-06-2023,251.41,Closed
61,3246,13,Loan,28-05-2021,348.48,Suspended
62,489,13,Credit Card,11-07-2020,330.9,Suspended
63,3825,69,Credit Card,04-04-2019,251.31,Closed
64,2807,66,Loan,25-01-2020,34.93,Closed
65,3211,26,Credit Card,19-07-2018,59.14,Suspended
66,15,4,Savings,27-11-2012,30.92,active
67,248,193,Credit Card,05-12-2023,35.98,Closed
68,2680,57,Current,31-03-2024,71.48,Suspended
69,1146,97,Credit Card,10-12-2016,209.98,Suspended
70,31,120,Savings,15-12-2023,13.23,Closed
71,2105,48,Loan,12-10-2018,61.65,Active
72,3709,34,Current,16-07-2016,61.12,Active
73,844,24,Loan,13-11-2020,38.44,Suspended
74,269,79,Loan,10-05-2020,363.87,Suspended
75,3651,184,Loan,23-11-2012,68.9,Active
76,2171,34,Current,01-11-2018,14.79,Closed
77,3348,11,Savings,"Aug 20, 2020",57.51,Closed
78,4060,141,Savings,08-02-2018,58.54,Suspended
79,2107,100,oLan,26-09-2019,29.37,Suspended
80,2950,68,Current,25-01-2022,71.46,Closed
81,1266,35,Savings,29-09-2015,104.71,Active
82,251,124,Current,02-11-2022,22.44,Active
83,3414,100,Current,25-07-2022,119.64,Suspended
84,1817,16,Savings,29-06-2018,10.46,Suspended
85,2124,4,Current,11-12-2022,24.87,Active
86,2373,160,Credit Card,27-07-2017,11.89,Suspended
87,2626,93,Loan,10-04-2017,111.11,Closed
88,3967,160,Current,15-11-2017,67.6,Suspended
89,3533,175,Current,10-03-2014,266.04,Suspended
90,499,97,Credit Card,16-02-2022,70.93,Suspended
91,3650,196,Savings,25-07-2017,51.39,Active
92,3939,175,Loan,16-07-2018,41.29,Active
93,1020,93,Credit Card,02-05-2012,7.75,Suspended
94,3299,32,Credit Card,11-11-2022,28.26,Active 
95,2225,113,Loan,24-12-2024,16.58,Suspended
96,1422,185,Savings,12-02-2018,24.12,Suspended
97,1239,184,Current,27-04-2025,71.24,Closed
98,3919,184,Loan,04-11-2023,149.56,Suspended
99,1299,123,uCrrent,17-03-2015,326.36,Suspended
100,697,118,Credit Card,13-08-2024,214.73,Suspended
101,2161,24,Credit Card,12-05-2023,-135.44,Closed
102,1762,6,Current,09-06-2025,41.87,Active
103,2139,1,Savings,20-11-2016,38,Closed
104,2018,67,Current,05-04-2015,88.59,Closed
105,399,19,Credit Card,22-04-2014,52.62,Closed
106,2646,73,Current,19-03-2013,116.32,Suspended
107,2081,115,Loan,07-10-2015,871.06,Closed
108,2994,168,Loan,13-04-2019,499.84,Active
109,3993,113,Loan,11-04-2020,128.56,Active
110,1468,115,Credit Card,11-02-2014,67.9,Closed
111,2021,174,Savings,04-10-2024,129.84,Suspended
112,3256,34,Credit Card,21-10-2021,82.3,Suspended
113,2250,101,Savings,12-02-2022,133.09,Closed
114,1730,70,Savings,21-03-2023,130.85,Closed
115,2172,92,Loan,"May 02, 2019",125.62,Closed
116,1248,74,Loan,28-02-2022,17.17,Active
117,3205,141,Savings,15-05-2014,70.81,Closed
118,3976,170,Loan,01-02-2014,364.77,Suspended
119,1862,112,Credit Card,15-05-2021,40.08,Closed
120,1641,85,Loan,27-08-2013,27.25,Closed
121,3967,54,Credit Card,14-03-2022,218.91,Suspended
122,3555,190,Loan,30-04-2015,43.56,Closed
123,3699,127,Savings,01-08-2014,159.57,Closed
124,3134,40,Loan,20-08-2019,128.36,Suspended
125,2909,182,Savings,12-03-2018,-79.92,Suspended
126,1294,64,Credit Card,29-11-2021,210.1,Closed
127,2518,14,Credit Card,07-07-2024,57.18,Active
128,1091,127,Savings,21-01-2025,80.66,Suspended
129,2232,41,Loan,28-05-2018,72.8,Active
130,2763,142,Loan,22-01-2013,79.7,Suspended
131,340,191,Credit Card,30-01-2012,58.73,Suspended
132,215,63,Loan,27-07-2019,107.11,Suspended
133,3278,130,Loan,05-11-2021,116.69,Closed
134,3451,46,Current,09-05-2019,12.73,Active
135,1808,116,Current,11-10-2019,478.88,Suspended
136,1899,92,Credit Card,27-12-2024,25.35,Closed
137,860,32,Credit Card,28-09-2014,111.05,Suspended
138,646,21,Savings,21-03-2021,26.65,Active
139,1732,19,Loan,04-05-2017,59.63,Closed
140,1617,104,Credit Card,28-06-2024,63.59,Suspended
141,2978,186,Savings,03-07-2016,109.77,Suspended
142,1085,118,Loan,12-07-2012,31.79,ACTIVE
143,3025,40,Current,14-10-2014,92.21,Active
144,487,98,Current,14-04-2025,44.38,Suspended
145,2349,8,Savings,20-11-2013,866.42,Active
146,2286,50,Credit Card,15-04-2019,53.84,Suspended
147,3244,180,Loan,03-08-2014,45.61,Suspended
148,3354,186,Current,19-11-2019,198.75,Suspended
149,2058,48,Savings,15-02-2025,39,Active
150,3641,157,Current,"Mar 23, 2012",29.98,Closed
151,3494,46,Savings,28-02-2013,44.21,Suspended
152,2281,131,Savings,27-04-2024,41.58,Closed
153,3623,99,Savings,09-12-2020,12.65,suspended
154,1495,81,Credit Card,26-05-2019,82.01,Active
155,1344,76,Current,29-01-2023,21.96,Closed
156,3124,123,Loan,23-07-2014,30.34,Closed
157,3043,172,Savings,05-05-2024,232.79,Active
158,3049,81,Savings,21-09-2024,29.79,Suspended
159,471,33,Loan,04-04-2017,45.78,Active
160,2752,5,Credit Card,18-02-2023,36.59,Closed
161,3047,6,Loan,05-09-2012,3.1,Closed
162,1392,133,Savings,04-03-2015,438.36,Closed
163,3143,60,Credit Card,05-08-2012,167.2,Closed
164,291,117,Savings,14-09-2023,52.73,Closed
165,2965,68,Savings,19-04-2018,36.81,Closed
166,3926,61,Loan,11-10-2017,37.68,Suspended
167,2085,142,Current,23-02-2025,-40.53,Active
168,2689,90,Credit Card,08-08-2024,152.98,Active
169,2202,51,Loan,25-01-2022,88.01,Active
170,2290,145,Credit Card,01-03-2020,173.74,Active
171,3012,56,Credit Card,19-07-2018,44.96,Suspended
172,3591,43,Credit Card,01-02-2012,23.26,Active
173,1349,176,Credit Card,25-03-2020,51.47,Suspended
174,486,56,Credit Card,"Jan 02, 2015",84.55,Closed
175,4013,57,Savinsg,04-03-2020,129.63,Suspended
176,3163,65,Credit Card,20-01-2025,407.98,Closed
177,2568,42,Current,09-07-2012,33.12,Closed
178,607,76,Current,24-10-2016,27.49,Active
179,890,3,Savings,21-02-2023,37.6,Active
180,1140,124,Loan,17-03-2015,7.36,Closed
181,3504,74,Cerdit Card,15-05-2025,231.67,Closed
182,3919,184,Loan,04-05-2013,53.14,Suspended
183,2743,55,Current,22-07-2015,25.94,Closed
184,881,107,Savnigs,24-04-2016,43.15,Closed
185,3238,34,Savings,01-10-2012,17.47,Suspended
186,1145,107,Current,25-02-2013,-52.86,Suspended
187,2805,122,CreditC ard,08-01-2022,105.99,Suspended
188,1500,115,Credit Card,12-10-2012,248.61,Closed
189,1645,166,Credit Card,14-02-2018,280.7,Active
190,2235,56,Lona,10-05-2016,16.03,Active
191,2680,44,Savinsg,27-07-2017,308.48,Suspended
192,326,17,Current,20-11-2016,452.38,Active
193,2495,82,Credit Card,13-02-2025,116.85,Closed
194,1511,126,Loan,01-06-2013,-294.11,Suspended
195,2682,74,Loan,12-06-2013,44.58,Suspended
196,2659,43,Loan,13-12-2020,49.96,Active
197,1902,104,Credit Card,26-03-2014,168.64, Closed
198,3825,29,Laon,12-10-2021,43.42,Closed
199,3885,157,Credit Card,24-01-2021,187.17,Active
200,908,53,Credit Card,04-04-2020,576,Suspended
201,3873,55,Current,06-04-2015,150.84,Closed
202,3926,82,Credit Card,10-03-2023,97.99,Closed
203,3225,47,Credit Card,04-04-2015,94.04,Active
204,3267,12,Current,17-04-2018,361.14,Active
205,133,129,Credit Card,14-08-2020,34.27,Suspended
206,2832,115,Savings,25-10-2016,68.67,Suspended
207,1268,90,Credit Card,16-12-2014,27.14,Suspended
208,3536,177,Current,02-09-2012,63.97,Suspended
209,2694,78,Credit Card,04-02-2015,41.08,suspended
210,1900,65,Savings,14-03-2021,152.87,Suspended
211,184,67,Loan,03-07-2016,101.05,Suspended
212,3251,5,oLan,30-05-2015,103.29,Closed
