card_id,customer_id,card_type,limit_amount,issue_date,is_active
1,4001,RPuay,19593.39,03-02-2017,1
2,544,RuPay,-42708.22,03-12-2022,1
3,4020,MasterCard,134380.06,04-06-2020,0
4,4009,Amex,111110.06,"Jul 07, 2019",1
5,4029,RuPay,112894,29-01-2017,1
6,4005,Amex,83192.61,12-10-2025,1
7,4021,Amex,206911.34,04-05-2014,1
8,4032,Amex,253629.22,12-10-2017,1
9,4040,Amex,46289.85,09-07-2020,1
10,4034,Visa,246651.17,05-08-2021,1
11,4008,Amex,114395.89,22-04-2023,TRUE
12,4012,Visa,146655.78,16-03-2017,1
13,4030,RuPay,154048.04,17-11-2018,1
14,4020,MasterCard,14257.98,22-05-2016,1
15,4033,Visa,162505.32,"Jul 14, 2025",0
16,4025,RuPay,97401.51,28-12-2019,1
17,4003,Visa,239827.38,20-02-2018,1
18,4038,MasterCard,291266.91,16-09-2022,1
19,4008,MasterCard,147540.83,04-09-2018,1
20,4010,MasterCrad,192985.86,21-08-2017,0
21,4005,Visa,107803.49,21-08-2019,1
22,4017,uRPay,127553.21,19-05-2021,1
23,4036,Amex,166706.02,16-12-2014,1
24,4021,Visa,"75,539.60",21-08-2025,1
25,4010,RuPay,68682.22,20-12-2015,0
26,4018,RuPay,118759.52,04-01-2025,1
27,4033,RuPay,235962.79,08-04-2015,1
28,4003,RuPay,96760.94,27-03-2018,0
29,4040,MasterCard,50858.53,30-07-2016,1
30,4013,Visa,230895.41,03-10-2019,1
31,4009,RuPay,70672.02,26-12-2016,1
32,4025,MasterCard,93801.78,18-01-2018,0
33,4028,Amex,223598.56,02-09-2025,1
34,4033,MasterCard,97974.07,16-02-2019,0
35,4002,MasterCard,96353.19,"May 29, 2015",1
36,4012,RuPay,213448.15,"Dec 24, 2023",1
37,4020,Visa,66548.39,20-12-2024,1
38,4037,Visa,34033.2,08-05-2015,1
39,4029,RuPay,193013.03,14-03-2018,0
40,4020,Amex,215629.3,"Aug 30, 2019",1
41,4032,Visa,103011.8,01-09-2015,1
42,4007,Amex,"86,226.75",19-11-2014,1
43,4013,RuPay,87225.06,08-03-2015,1
44,4009,Visa,201653.73,"Jul 22, 2019",0
45,4038,RuPay,91911.74,17-07-2020,0
46,4023,MasterCard,206432.13,01-02-2015,1
47,4033,RuPay,183099.72,15-07-2022,1
48,4037,MasterCard,165725.71,07-01-2020,1
49,4019,RuPay,175681.55,04-03-2024,1
50,4019,RuPay,72985.34,20-02-2019,1
51,4024,Amex,60805.9,20-02-2025,0
52,4029,RuPay,17965.48,25-05-2020,1
53,4010,MasterCard,52785.4,31-01-2019,1
54,4003,Amex,121293.85,04-09-2022,0
55,4029,Visa,94149.19,22-03-2019,0
56,4005,Amex,66652.41,27-12-2015,0
57,4015,RuPay,295059.82,03-10-2015,0
58,4008,RuPay,92641.71,08-08-2014,1
59,4022,RuPay,23106.62,09-06-2022,1
60,4008,Amex,52190.19,10-01-2024,1
61,4016,Amex,139997.06,28-07-2021,1
62,4013,Amex,141078.41,10-04-2022,0
63,4013,Visa,59460.64,21-07-2025,1
64,4007,Visa,46778.94,12-12-2015,0
65,4014,Amex,186552.41,27-04-2017,1
66,4008,Amex,21047.46,14-10-2023,0
67,4010,Amex,-84120.5,19-12-2014,1
68,4010,RPuay,70134.21,27-02-2022,1
69,4005,RuPay,50786.53,12-08-2017,1
70,4021,MasterCard,47495.31,20-06-2017,1
71,4034,Visa,193855.86,12-01-2021,1
72,4028,Amex,122873.26,28-03-2015,1
73,4029,Visa,85593.39,15-06-2024,NO
74,4012,Visa,-324149.26,01-11-2021,1
75,4028,Aemx,288580.85,15-03-2022,1
76,4040,Amex,54416.59,08-06-2019,1
77,4030,Amex,170292.6,25-10-2022,TRUE
78,4031,Visa,117959.56,"Nov 16, 2023",1
79,4022,RuPay,43705.3,"Dec 27, 2020",1
80,4003,RuPay,74121.71,06-05-2020,0
81,4040,Amex,-122652.53,27-12-2019,1
82,4023,MasterCard,154076.78,24-07-2017,0
83,4028,Visa,324536.58,04-06-2023,1
84,4019,Amex,115360.31,12-05-2023,1
85,4014,RuPay,161900.38,27-06-2016,0
