fraud_id,transaction_id,fraud_type,detection_method,report_date,resolution_status,loss_amount
1,4,Vishing,AI Alert,17-02-2024,Closed,2911.34
2,8197,Smishing,Customer Complaint,25-06-2019,Investigating,5331.17
3,8199,Chargeback Fraud,AI Alert,14-09-2020,  Resolved  ,28211.42
4,7,Account Takeover,AI Alert,29-06-2024,Resolved,10280.88
5,9,Vishing,Customer Complaint,31-12-2020,Closed,5322.88
6,8202,Card Cloning,AI Alert,"Jul 25, 2023",Resolved,23506.53
7,12,Phisihng,AI Alert,18-03-2024,Closed,12936.15
8,8205,Identity Theft,Manual Review,16-02-2025,Resolved,19689.27
9,14,Phishing,Customer Complaint,14-04-2023,Investigating,14998.51
10,15,Identity Theft,Customer Complaint,26-07-2024,Closed,82.03
11,16,Smishing,Manual Review,10-08-2025,Closed,34607.74
12,8207,Vishing,Customer Complaint,"Jan 06, 2024",Closed,2853.71
13,21,Phishing,Manual Review,26-10-2021,Closed,"24,778.54"
14,22,Smishing,Manual Review,15-10-2023,Closed,"2,950.03"
15,24,Account Takeover,Manual Review,22-03-2025,Closed,5668.51
16,8216,Identity Theft,AI Alert,28-05-2019,Closed,838.63
17,8220,Smishing,Customer Complaint,27-09-2024,Resolved,171.05
18,33,Phishing,AI Alert,20-09-2022,Investigating,"9,386.17"
19,8226,Smishing,Manual Review,24-01-2024,Closed,22982.83
20,34,Vishing,AI Alert,26-01-2019,Resolved,235.31
21,8227,Phishing,AI Alert,14-12-2020,Investigating ,11581.27
22,40,Chargeback Fraud,AI Alert,13-04-2022,Investigating,1257.06
23,41,Account Takeover,Customer Complaint,"Feb 02, 2025",Closed,8758.75
24,42,Vishing,Manual Review,08-04-2024,Resolved,910.11
25,8235,Vishing,Customer Complaint,17-01-2023,INVESTIGATING,16652.36
26,8236,Account Takeover,Customer Complaint,02-11-2022,Investigating,122.28
27,46,Smishing,Manual Review,24-09-2022,Resolved ,26295.43
28,47,Chargeback Fraud,Manual Review,24-05-2023,Investigating ,3160.8
29,8239,Smishing,AI Alert,16-09-2023,Investigating,15010.29
30,8247,Smishing,Manual Review,15-06-2023,Resolved,19495.85
31,8249,Chargeback Fraud,Customer Complaint,14-08-2025,Closed,589.89
32,8252,Identity Theft,Manual Review,06-02-2021,Closed,992.21
33,8256,Phishing,Customer Complaint,16-10-2024,Investigating,10486.04
34,65,Smishing,Manual Review,20-03-2021,Resolved,21628.73
35,67,Phishing,AI Alert,"Jan 05, 2019",Investigating,22428.28
36,8260,Phishing,Manual Review,19-04-2025,Investigating,26472.74
