loan_id,customer_id,loan_type,loan_amount,issue_date,loan_status,is_fraud
1,4015,Business,558811.91,21-04-2022,Default,0
2,4007,Education,370193.71,28-05-2014,Closed,0
3,4028,Business,344548.54,29-09-2025,Active,0
4,4035,Home,692764.55,13-01-2015,Closed,0
5,4040,Education,746639.94,07-01-2025,Closed,0
6,4010,eVhicle,189510.94,29-05-2021,Closed,0
7,4040,Vehicle,307227.39,04-04-2017,Default,1
8,4013,Business,-501224.11,31-05-2020,Default,0
9,4013,Education,52933.24,29-12-2020,Default,0
10,4025,Home,832137.48,25-09-2016,Closed,0
11,58,Home,668219.59,"Feb 28, 2013",Default,1
12,4033,Home,267946.63,03-11-2020,Active,0
13,4006,Gold,385930.07,19-02-2019,Active,0
14,4040,Vehicle,966933.34,01-07-2013,Closed,0
15,4040,Gold,460142.37,12-04-2018,Active,1
16,4002,Education,467369.11,24-06-2014,Active,1
17,4002,Vehicle,611988.59,24-10-2017,Closed,0
18,4002,Business,494197.46,20-02-2025,Default,0
19,4021,Godl,520731.29,08-06-2022,Active,0
20,4007,Education,384819.62,30-04-2015,Default,0
21,4016,Business,155573.72,23-08-2021,Default,0
22,4031,Personal,440690.6,18-01-2023,Active,0
23,4019,Gold,240628.4,20-01-2018,Active,0
24,164,Home,376018.71,16-09-2020,Default,0
25,4003,Business,572827.15,10-01-2016,Active,0
26,4007,Vehicle,616780.04,15-03-2016,Default,0
27,4035,Personal,310633.01,19-08-2023,Default,0
28,4026,Business,560919.43,22-02-2014,Active,0
29,4015,Education,242913.41,25-02-2015,Active,0
30,4008,Education,426668.23,29-08-2015,Default,0
31,4003,Gold,576918.17,24-09-2021,Active,0
32,4004,Education,55853.66,10-05-2020,Active,TRUE
33,4023,Home,424607.26,13-03-2020,Default,0
34,4037,Personal,321947.68,25-11-2013,Default,0
35,4039,Gold,750805.72,02-01-2015,Closed,0
36,4002,Vehicle,"3,37,388.15","Oct 31, 2024",Closed,0
37,4024,Business,311609.88,04-04-2013,Closed,0
38,4025,Home,487054.84,26-09-2023,Default,0
39,4015,Personal,841182.68,03-01-2019,Active,0
40,4004,Home,640059.32,03-03-2014,Closed,0
41,4026,Vehicle,513112.01,"Feb 11, 2017",Closed,0
42,4015,Gold,338401.42,17-09-2013,Default,1
43,4026,Home,341280.52,14-05-2020,Closed,0
44,4029,Business,164742.42,28-07-2022,Closed,0
45,4032,Gold,659032.57,14-10-2015,Active,0
46,4017,Education,215884.48,13-06-2020,Closed,0
47,4024,Home,375631.66,06-09-2024,Active,0
48,4005,Personal,218794.74,13-07-2020,Active,0
