transaction_id,account_id,transaction_date,transaction_type,amount,channel,is_fraud
1,5857,19-05-2025,POS,6085.95,UPI,0
2,2564,30-01-2023 11:07,ATM Withdrawal,5785.92,UPI,0
3,2275,12-01-2024 14:28,Debit,522.88,UPI,0
4,6471,10-07-2018 18:37,Credit,1386.3,UPI,0
5,6290,13-04-2018,UPI,2879.44,Online,0
6,6516,07-11-2019,ATM Withdrawal,441.92,ATM,0
7,1802,31-08-2025 05:38,Debit,2148.77,ATM,0
8,2096,06-01-2020 15:14,UPI,3843.81,POS,0
9,3269,11-02-2021 08:55,UPI,7571.14,POS,1
10,6750,04-11-2022 17:24,Credit,4316.21,Branch,0
11,1737,17-08-2024,ATM Withdrawal,1162.48,ATM,0
12,4976,19-12-2020 05:07,Online Transfer,220.29,POS,0
13,1161,26-09-2019,Credit,5609,POS,0
14,3967,10-12-2023 01:36,Debit,441.97,Branch,0
15,1243,02-05-2018,Debit,10833.41,UPI,1
16,3407,02-09-2025 05:18,UPI,5876.43,UPI,1
17,786,12-08-2025 19:13,UPI,2401.94,Online,0
18,2221,18-09-2022 12:17,Debit,7356.08,POS,0
19,2211,26-03-2023 08:06,UPI,2935.59,ATM,1
20,4759,20-01-2020,Online Transfer,10520.55,ATM,1
21,2718,"May 17, 2018",POS,3738.52,POS,0
22,3552,19-08-2018 12:32,ATM Withdrawal,2107.85,ATM,0
23,4038,23-03-2024 16:23,Debit,3918.38,Branch,0
24,3916,19-06-2020,ATM Withdrawal,17392.26,ATM,0
25,4919,20-01-2021 20:42,OPS,683.17,UPI,0
26,4029,14-08-2018 06:28,Credit,16240.61,UPI,0
27,2361,28-03-2025 02:35,Online Transfer,9652.7,ATM,1
28,830,06-02-2024 21:33,Online Transfer,13134.68,ATM,0
29,6919,18-01-2019 23:40,ATM Withdrawal,6441.8,UPI,0
30,3232,"Sep 16, 2024",ATM Withdrawal,8330.59,ATM,1
31,369,30-06-2018 17:45,Debit,9792.99,Branch,0
32,5889,18-08-2019,POS,997.05,POS,0
33,2929,"Jul 22, 2021",UPI,8954.88,ATM,0
34,2317,29-06-2025,Online Transfer,5160.98,UPI,0
35,5825,23-05-2024 17:19,UPI,5367.3,ATM,NO
36,1458,23-08-2019 10:22,POS,6161.86,Branch,0
37,4730,12-03-2021 21:24,ATM Withdrawal,1316.71,POS,0
38,1804,19-10-2020 18:22,Credit,8369.06,Online,0
39,5222,22-06-2021 04:32,UPI,1340.38,ATM,1
40,1673,"Oct 04, 2018",TAM Withdrawal,5315.07,POS,0
41,3816,08-01-2022 23:25,POS,1474.54,Online,0
42,5455,12-02-2020 19:13,POS,2048.65,ATM,0
43,6509,24-12-2023 20:11,Credit,377.48,Branch,0
44,6367,"Jul 08, 2019",Online Transfer,2276.99,ATM,0
45,4439,22-01-2025 18:41,Credit,5431.05,ATM,0
46,6101,13-02-2025 16:52,ATM Withdrawal,8043.98,UPI,0
47,2660,27-10-2022 14:16,Credit,144.22,Online,0
48,1724,14-01-2025 00:05,UPI,882.27,Online,0
49,4933,03-01-2023 07:33,POS,607.59,Online,0
50,3274,20-10-2018 12:47,POS,508.89,ATM,0
51,148,22-02-2024,POS,7811.79,UPI,0
52,2031,24-11-2021 13:44,Credit,9026.53,ATM,0
53,3069,19-08-2019 04:30,POS,2777.44,Online,0
54,2547,28-08-2024 08:32,Online Transfer,1895.4,POS,1
55,6795,08-08-2018 09:41,ATM Withdrawal,3613.8,POS,NO
56,4026,10-09-2023 16:12,Credit,4273.44,Online,0
57,4979,03-12-2024 17:22,POS,7875.85,ATM,1
58,1590,02-12-2019 16:31,PUI,3808.87,UPI,0
59,5685,"Dec 02, 2024",Credit,1796.8,UPI,0
60,2337,11-03-2023,POS,7952.73,Branch,0
61,4603,26-08-2021 17:56,ATM Withdrawal,6485.03,POS,0
62,6255,01-04-2018 23:30,ATM Withdrawal,10027.42,POS,0
63,1162,20-05-2023,Debit,10332.23,UPI,0
64,5407,20-06-2023,Online Transfer,14822,Online,0
65,2930,26-08-2022,UPI,1258.41,POS,0
66,873,25-06-2019 02:29,Credit,8447.66,UPI,0
67,1905,15-02-2024,POS,8453.3,Branch,0
68,5404,13-05-2018 12:47,Online Transfer,2554.6,POS,0
69,4299,30-04-2019 05:13,ATM Withdrawal,5468.42,POS,0
